"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest"
"1","CHACHAPOYAS",10101,2025,60,29732.1408450704,22.8188334867058,0.537929026135249,0.313087676010328,78.4438989409663,1.21392608712614,10.8310810810811,0,0,0
"2","BALSAS",10103,2025,60,1530.7323943659,23.8787964808414,0.437643792748578,0.226471380888764,70.1608453967147,0.155910648880728,47.3634933959399,0,0,0
"3","CHETO",10104,2025,60,498,19.4372648486181,0.626823451856952,0.378629890637698,93.8449984827016,0.165044170220961,1.5,0,0,0
"4","CHILIQUIN",10105,2025,60,537,19.3650682926391,0.521968501559658,0.312613008706045,81.9063939981668,0.16228449202276,2,0,0,0
"5","CHUQUIBAMBA",10106,2025,60,1719,21.3557727347463,0.449656678202568,0.247743810325099,73.3221501412844,0.15454884397705,53.9633093434503,0,0,0
"6","GRANADA",10107,2025,60,365,17.1472638187977,0.401974351249579,0.213825985542914,93.7736555229349,0.135803425012846,55.7510959605772,0,0,0
"7","HUANCAS",10108,2025,60,1139.33898305054,24.5602167812977,0.488823752594761,0.261969163056518,76.2420911030839,0.446577081298301,6.62983425414365,0,0,0
"8","LA JALCA",10109,2025,60,4384.85524934909,19.273290028906,0.499773480225607,0.292537805999813,94.8050676186239,0.359519208416299,6,0,0,0
"9","LEIMEBAMBA",10110,2025,60,2689,14.8684217822026,0.468372306042811,0.28259161720724,82.7471702113571,0.15033053641775,69.8768472906404,0,0,0
"10","LEVANTO",10111,2025,60,547.389830508478,20.1366575940765,0.518703926496099,0.296486777304934,82.71262567099,0.188367190933078,3,0,0,0
"11","MAGDALENA",10112,2025,60,594.148936169658,20.2978956627051,0.539896361881665,0.295930543214006,90.1973631238562,0.173552476300583,12.1782994923858,0,0,0
"12","MOLINOPAMPA",10114,2025,60,2258,18.907199911726,0.544710927846801,0.321978819815876,90.4858959986395,0.140145850215727,48.2509652509653,0,0,0
"13","OLLEROS",10116,2025,60,292,17.4566009031484,0.474241862084016,0.260471064966206,89.6287619030468,0.141356340184431,4.86221003705528,0,0,0
"14","QUINJALCA",10117,2025,60,591,18.8491459861447,0.518760064933866,0.316649272394614,86.4722667027499,0.184659896517371,2,0,0,0
"15","SONCHE",10121,2025,60,205.340425531929,22.7600377158431,0.5369663588501,0.294122476307648,81.2299193543429,0.196631533924815,13.4262939133405,0,0,0
"16","BAGUA",10201,2025,60,23001,30.5757406887218,0.553160838873244,0.34414005516438,81.534301107243,0.603451031014793,25.9823658680883,0,0,0
"17","ARAMANGO",10202,2025,60,8095.61971830803,23.035227289717,0.552123520625162,0.369548059884079,115.955518861677,0.173334987531389,61.6385027537225,0,0,0
"18","COPALLIN",10203,2025,60,4852.57446808507,27.1246091774805,0.461808504639727,0.308902817048471,77.5260122304159,0.260429815931445,17.4677305587461,0,0,0
"19","EL PARCO",10204,2025,60,1686.63636363635,29.8042642882224,0.619296460688303,0.397572372255055,73.7632593388747,0.393928852270566,2.40031397174254,0,0,0
"20","IMAZA",10205,2025,60,21578.4788732395,23.4152879689541,0.607806022982441,0.401835237459349,193.82169623314,0.146857171409921,49.231232177236,0,0,0
"21","LA PECA",10206,2025,60,6044,27.0955316559642,0.524502377796766,0.344961743995259,80.1181851196209,0.268646214215076,1.5,0,0,0
"22","JUMBILLA",10301,2025,60,1426,19.5802199875102,0.487059793388958,0.30112468218509,87.653478034579,0.203514272377842,2.89453758788534,0,0,0
"23","CHISQUILLA",10302,2025,60,301,17.3166480735012,0.492866729903796,0.26288535380148,90.2589091400882,0.157968772199699,4.26084300549786,0,0,0
"24","CHURUJA",10303,2025,60,215,21.8101445278468,0.651180411494473,0.392761179234098,73.4675509916042,0.23331653943146,28.2088470860997,0,0,0
"25","COROSHA",10304,2025,60,1037,20.2580987199338,0.524203401264887,0.307778364338004,93.7017117221347,0.196882953012735,1,0,0,0
"26","FLORIDA",10306,2025,60,9707.66101694667,19.8314413546618,0.531810488362484,0.355672363205863,90.7619288021202,0.182836974608287,86.8425441683448,0,0,0
"27","JAZAN",10307,2025,60,6961,24.5382590570116,0.598898100712468,0.368337315403249,75.200810648961,0.373940153609449,25.1730271668823,0,0,0
"28","RECTA",10308,2025,60,257,20.9370155093742,0.587456242482411,0.395858802355587,75.1538160249065,0.189445824777055,2,0,0,0
"29","SAN CARLOS",10309,2025,60,381,20.5087841598363,0.486551109899048,0.285646726553414,71.8511037969447,0.17139898191308,3.3138519740033,0,0,0
"30","SHIPASBAMBA",10310,2025,60,2090,22.2396978596073,0.585750529137838,0.3607918004265,81.4946230446055,0.195647134451929,27.2924196581896,0,0,0
"31","VALERA",10311,2025,60,973,23.0406801960265,0.558705977829911,0.31223839750164,75.4978403021294,0.189646565582045,24.0035856121639,0,0,0
"32","YAMBRASBAMBA",10312,2025,60,9728.864406773,20.6591407879906,0.5244813771655,0.324237072347804,147.098629612826,0.138660970263837,6.67525144583941,0,0,0
"33","NIEVA",10401,2025,60,28887.6271186135,24.8137755581846,0.629352174941015,0.429568868435277,246.022402774997,0.127062562752133,47.5169409576116,0,0,0
"34","EL CENEPA",10402,2025,60,9107.39436619436,23.8038212798988,0.601475050161605,0.393891513657545,217.393771501511,0.190310408506134,34.1041050860137,0,0,0
"35","RIO SANTIAGO",10403,2025,60,17948.5915492958,24.5048023755927,0.612173517888919,0.412814572930117,263.755323088896,0.141836362764895,69.8769962388923,0,0,0
