"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest","enn_mn_forest"
"1","CHACHAPOYAS",10101,2021,12,27660.0281690141,22.8188334867058,0.537929026135249,0.313087676010328,78.4500616124892,1.21537780754326,10.8310810810811,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"2","BALSAS",10103,2021,12,1459.74647887318,23.8788993920762,0.437643792748578,0.226471380888764,70.1608453967147,0.155754488040664,47.3634933959399,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"3","CHETO",10104,2021,12,498,19.4372650842118,0.626823451856952,0.378629890637698,93.846001702007,0.165044170220961,1.5,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"4","CHILIQUIN",10105,2021,12,537,19.365068428507,0.521968501559658,0.312613008706045,81.9077210267963,0.16228449202276,2,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5","CHUQUIBAMBA",10106,2021,12,1719,20.5639523572005,0.449656530483083,0.247743810325099,73.3221501412844,0.154003084224766,53.9633093434503,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"6","GRANADA",10107,2021,12,365,16.8145426466091,0.40197434704935,0.213825985542914,93.7808556816797,0.135787789913863,55.7510959605772,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"7","HUANCAS",10108,2021,12,1027.06779661011,24.5595554133289,0.488823752594761,0.261969099504064,76.2444844488957,0.446563655296374,6.62983425414365,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"8","LA JALCA",10109,2021,12,4384.4839049086,19.273290028906,0.499773480225607,0.292537805999813,94.8087668405789,0.238659488568651,6,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"9","LEIMEBAMBA",10110,2021,12,2689,14.8684181768061,0.468369168310064,0.282591504905021,87.8737925110142,0.15033053641775,69.8768472906404,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"10","LEVANTO",10111,2021,12,576.677966101696,20.1366308743012,0.518703926496099,0.296486777304934,82.7245266230726,0.188367190933078,3,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"11","MAGDALENA",10112,2021,12,626.829787233932,20.2978944837431,0.539896361881665,0.295930543214006,90.2006708071357,0.173561285026787,12.1782994923858,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"12","MOLINOPAMPA",10114,2021,12,2258,19.0322627475503,0.544710927846801,0.321978819815876,90.4885106554422,0.168362633055944,48.2509652509653,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"13","OLLEROS",10116,2021,12,292,17.4566009031484,0.47498700255394,0.260471064966206,89.6310418683204,0.141356340184431,4.86221003705528,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"14","QUINJALCA",10117,2021,12,591,18.8491459861447,0.518760064933866,0.316649272394614,86.4757334685035,0.184659896517371,2,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"15","SONCHE",10121,2021,12,211.468085106386,22.7600260453718,0.5369663588501,0.294122476307648,81.2318809882485,0.196631533924815,13.4262939133405,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"16","BAGUA",10201,2021,12,23001,29.9775925160028,0.553160792193837,0.344134862538545,81.53432781081,0.603451031014793,25.9823658680883,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"17","ARAMANGO",10202,2021,12,8434.32394366161,22.9844620484145,0.552612581185145,0.369548059884079,115.996951826529,0.173362231361254,61.6385027537225,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"18","COPALLIN",10203,2021,12,4916.91489361701,27.1245931188492,0.461808504639727,0.308902817048471,77.5261892900244,0.260429815931445,17.4677305587461,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"19","EL PARCO",10204,2021,12,1603.72727272727,29.8060245392868,0.619296460688303,0.397572347100438,73.7632593388747,0.393928852270566,2.40031397174254,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"20","IMAZA",10205,2021,12,20917.2957746479,23.4152879689541,0.572325145990209,0.401835237459349,193.82169623314,0.147213124113252,49.231232177236,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"21","LA PECA",10206,2021,12,6044,27.0955316559642,0.524502019181304,0.34496167914642,80.1183868695726,0.268646214215076,1.5,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"22","JUMBILLA",10301,2021,12,1426,19.5802199875102,0.487059793388958,0.301124649636618,87.6534679789969,0.203514272377842,2.89453758788534,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"23","CHISQUILLA",10302,2021,12,301,17.3165914127295,0.492862502615483,0.262882093805252,90.2589621353211,0.157968772199699,4.26084300549786,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"24","CHURUJA",10303,2021,12,215,21.3711662073671,0.651180411494473,0.392761179234098,73.4686769426614,0.23331653943146,28.2088470860997,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"25","COROSHA",10304,2021,12,1037,20.2580987199338,0.524203042174032,0.307778364338004,93.7017117221347,0.196882953012735,1,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"26","FLORIDA",10306,2021,12,8811.93220338933,19.8312286004932,0.531922038268067,0.355672181586778,90.7619288021202,0.185721214967375,86.8425441683448,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"27","JAZAN",10307,2021,12,6961,24.5382590570116,0.598898013901092,0.36833729505519,75.2014015074577,0.373940153609449,25.1730271668823,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
